S.No.,sofifa_id,short_name,long_name,age,nationality,Player_Continent,Club_Continent,Club_Int_Prestige,Club_Domestic_Prestige,Value,Wages,preferred_foot,Player_international_reputation,weak_foot,pace,shooting,passing,dribbling,defending,physic,Position_Final,Mins_Total,Goals_total,Assists_Total,Shots_per_game_total,Yellow_Cards_Total,Red_Cards_Total,Aerial_Battles_Won_Per_Game_Total,Man_of_The_Match_Total
22,20801,Cristiano Ronaldo,Cristiano Ronaldo dos Santos Aveiro,34,Portugal,Europe,Europe Tier 1,10,10,58500000,4.00E+05,Right,5,4,90,93,82,89,35,78,"Attacking Midfield,Forward",3438,27,10,11,4,1,3.100000143,12
23,182521,T. Kroos,Toni Kroos,29,Germany,Europe,Europe Tier 1,10,10,5.70E+07,325000,Right,4,5,45,80,90,81,70,69,Midfield (Attacking/Defensive),2872,1,6,2.600000143,3,0,1.400000095,3
24,188567,P. Aubameyang,Pierre-Emerick Aubameyang,30,Gabon,Africa,Europe Tier 1,7,7,5.70E+07,2.00E+05,Right,3,4,94,85,75,80,37,69,"Attacking Midfield,Forward",3668,30,7,6.5,1,0,2.199999809,7
25,212218,A. Laporte,Aymeric  Laporte,25,France,Europe,Europe Tier 1,9,10,56500000,190000,Left,2,3,64,50,71,68,88,82,Defense,3939,5,3,1.299999952,4,0,4.800000191,1
26,188350,M. Reus,Marco Reus,30,Germany,Europe,Europe Tier 1,7,9,5.60E+07,170000,Right,4,4,85,88,84,87,45,66,"Attacking Midfield,Forward",2846,18,9,4.300000191,4,1,1.5,6
27,189511,Sergio Busquets,Sergio Busquets i Burgos,30,Spain,Europe,Europe Tier 1,10,10,5.50E+07,3.00E+05,Right,4,3,42,62,80,80,85,80,Defensive Midfield,3755,0,2,0.5,13,0,2.799999952,0
28,199556,M. Verratti,Marco Verratti,26,Italy,Europe,Europe Tier 1,9,10,54500000,140000,Right,3,4,65,60,84,90,79,66,Defensive Midfield,2488,0,2,0.400000006,9,0,0.5,1
29,200145,Casemiro,Carlos Henrique Venancio Casimiro,27,Brazil,South America,Europe Tier 1,10,10,53500000,225000,Right,3,3,62,72,75,72,85,89,Defensive Midfield,2821,4,0,2.200000048,5,1,5,4
30,176580,L. Suárez,Luis Alberto Suárez Díaz,32,Uruguay,South America,Europe Tier 1,10,10,5.30E+07,350000,Right,5,4,73,89,80,84,51,84,"Attacking Midfield,Forward",3730,22,9,7.199999809,8,0,1.5,5
31,228702,F. de Jong,Frenkie de Jong,22,Netherlands,Europe,Europe Tier 1,10,10,5.20E+07,190000,Right,3,3,79,64,84,87,76,76,"Defensive Midfield,Defense",3503,3,3,1.399999976,2,0,2.800000191,2
32,201942,Roberto Firmino,Roberto Firmino Barbosa de Oliveira,27,Brazil,South America,Europe Tier 1,10,9,5.20E+07,170000,Right,3,4,77,82,80,87,61,78,"Attacking Midfield,Forward",3368,16,7,3.600000143,0,0,1.5,4
33,198219,L. Insigne,Lorenzo Insigne,28,Italy,Europe,Europe Tier 1,7,9,5.20E+07,140000,Right,3,4,89,79,85,91,35,47,"Attacking Midfield,Forward",2889,14,6,9.300000191,7,1,0.600000024,3
34,232363,M. Škriniar,Milan Škriniar,24,Slovakia,Europe,Europe Tier 1,7,9,5.20E+07,90000,Right,1,4,69,41,59,66,87,82,Defense,3947,0,1,1.699999928,8,0,5,0
35,207865,Marquinhos,Marcos  Aoás Corrêa,25,Brazil,South America,Europe Tier 1,9,10,51500000,120000,Right,3,3,74,41,73,70,86,77,"Defensive Midfield,Defense",3325,4,1,0.800000012,4,1,3.199999809,0
36,197781,Isco,Francisco Román Alarcón Suárez,27,Spain,Europe,Europe Tier 1,10,10,5.10E+07,250000,Right,3,3,71,77,83,91,59,60,"Attacking Midfield,Forward",1439,4,2,2.900000095,4,0,0.300000012,1
37,223848,S. Milinkovic-Savic,Sergej Milinkovic-Savic,24,Serbia,Europe,Europe Tier 1,6,7,50500000,70000,Right,2,4,67,79,80,83,77,84,Attacking Midfield,2708,5,3,3.899999857,9,1,6.199999809,2
38,205600,S. Umtiti,Samuel Umtiti,25,France,Europe,Europe Tier 1,10,10,5.00E+07,2.00E+05,Left,3,3,69,63,69,69,86,82,Defense,1269,0,1,0.100000001,4,1,1.899999976,0
39,189509,Thiago,Thiago Alcântara do Nascimento,28,Spain,Europe,Europe Tier 1,9,10,5.00E+07,180000,Right,3,3,69,74,85,90,69,63,Midfield (Attacking/Defensive),2797,2,7,1.600000024,6,0,2.600000143,3
40,235243,M. de Ligt,Matthijs de Ligt,19,Netherlands,Europe,Europe Tier 1,10,10,5.00E+07,80000,Right,3,4,67,58,66,68,83,84,Defense,3960,5,1,3,3,0,8.100000381,3
41,208421,Saúl,Saúl Ñíguez Esclápez,24,Spain,Europe,Europe Tier 1,9,9,49500000,80000,Left,3,4,70,78,79,81,78,78,"Defensive Midfield,Defense",3556,5,1,3.399999857,11,0,5.300000191,5
42,212198,Bruno Fernandes,Bruno Miguel Borges Fernandes,24,Portugal,Europe,Europe Tier 2,4,9,4.90E+07,20000,Right,2,4,77,83,87,85,65,74,Midfield (Attacking/Defensive),3645,23,14,5.599999905,12,0,1.5,10
43,212622,J. Kimmich,Joshua Kimmich,24,Germany,Europe,Europe Tier 1,9,10,4.80E+07,120000,Right,3,4,72,69,86,84,79,78,"Defensive Midfield,Defense",3690,2,15,1.299999952,7,0,1.599999905,4
44,179813,E. Cavani,Edinson Roberto Cavani Gómez,32,Uruguay,South America,Europe Tier 1,9,10,4.70E+07,190000,Right,4,4,75,86,72,79,55,83,"Attacking Midfield,Forward",2091,20,6,4.200000286,1,0,0.300000012,2
45,231866,Rodri,Rodrigo Hernández Cascante,23,Spain,Europe,Europe Tier 1,9,10,4.70E+07,150000,Right,2,4,67,68,77,77,82,80,Defensive Midfield,3349,3,1,1.299999952,5,0,4.099999905,3
46,189242,Coutinho,Philippe Coutinho Correia,27,Brazil,South America,Europe Tier 1,10,10,46500000,170000,Right,3,4,79,80,84,90,52,64,Midfield (Attacking/Defensive),2883,8,5,4.799999714,2,0,0.5,1
47,212190,N. Süle,Niklas Süle,23,Germany,Europe,Europe Tier 1,9,10,46500000,110000,Right,2,3,72,42,55,50,86,82,Defense,3103,2,0,0.900000036,3,0,5.099999905,0
48,193301,A. Lacazette,Alexandre Lacazette,28,France,Europe,Europe Tier 1,7,7,4.60E+07,160000,Right,3,4,82,85,75,86,40,74,"Attacking Midfield,Forward",3158,18,10,4.299999714,4,1,2.199999809,6
49,192505,R. Lukaku,Romelu Lukaku,26,Belgium,Europe,Europe Tier 1,7,9,4.60E+07,110000,Left,3,4,75,82,73,72,35,84,"Attacking Midfield,Forward",2676,14,1,2.800000191,5,0,5,3
50,201399,M. Icardi,Mauro Emanuel Icardi Rivero,26,Argentina,South America,Europe Tier 1,7,9,4.60E+07,140000,Right,3,4,75,84,61,77,36,69,Forward,2810,15,4,6,0,0,4.400000095,3
51,235790,K. Havertz,Kai Havertz,20,Germany,Europe,Europe Tier 1,6,7,4.60E+07,70000,Left,1,4,84,78,79,84,44,65,"Attacking Midfield,Forward",3324,20,6,5.899999619,2,0,2.800000191,3
52,177003,L. Modric,Luka Modric,33,Croatia,Europe,Europe Tier 1,10,10,4.50E+07,325000,Right,4,4,74,76,89,89,72,66,Midfield (Attacking/Defensive),3085,3,7,2.300000191,7,0,0.699999988,1
53,165153,K. Benzema,Karim Benzema,31,France,Europe,Europe Tier 1,10,10,4.50E+07,275000,Right,4,4,76,82,80,86,39,77,Forward,3552,25,8,5.5,1,0,2.300000191,9
54,201535,R. Varane,Raphaël Varane,26,France,Europe,Europe Tier 1,10,10,4.50E+07,2.00E+05,Right,3,3,83,45,62,63,85,80,Defense,3117,2,0,1.600000024,1,1,5.900000095,0
55,220440,C. Lenglet,Clément Lenglet,24,France,Europe,Europe Tier 1,10,10,4.50E+07,170000,Left,2,4,75,45,68,65,86,80,Defense,2934,1,0,1,10,1,3.5,1
56,209499,Fabinho,Fábio Henrique Tavares,25,Brazil,South America,Europe Tier 1,10,9,4.50E+07,120000,Right,3,2,68,69,78,77,85,83,"Defensive Midfield,Defense",2740,1,2,0.900000036,9,0,4,1
57,216460,J. Giménez,José María Giménez de Vargas,24,Uruguay,South America,Europe Tier 1,9,9,4.50E+07,70000,Right,2,3,69,45,52,54,86,82,Defense,2134,2,0,1.299999952,8,0,4.900000095,1
58,208670,H. Ziyech,Hakim Ziyech,26,Morocco,Africa,Europe Tier 2,7,10,4.50E+07,40000,Left,3,2,80,75,86,83,50,66,Midfield (Attacking/Defensive),3398,19,16,10.39999962,5,0,0.5,12
59,192387,C. Immobile,Ciro Immobile,29,Italy,Europe,Europe Tier 1,6,7,44500000,1.00E+05,Right,3,4,80,85,63,81,39,76,Forward,3246,16,10,5.800000191,8,0,1.299999952,5
60,233049,J. Sancho,Jadon Sancho,19,England,Europe,Europe Tier 1,7,9,44500000,60000,Right,2,4,88,72,77,90,36,60,Attacking Midfield,2902,13,15,1.600000024,3,0,0,7
61,189596,T. Müller,Thomas Müller,29,Germany,Europe,Europe Tier 1,9,10,43500000,170000,Right,4,4,72,83,79,78,55,71,"Attacking Midfield,Forward",2745,6,10,3.200000048,1,1,3.399999857,3
62,216267,A. Robertson,Andrew Robertson,25,Scotland,Europe,Europe Tier 1,10,9,43500000,120000,Left,1,2,85,62,77,79,80,75,"Defensive Midfield,Defense",4228,0,13,0.899999976,7,0,1.100000024,1
63,231443,O. Dembélé,Ousmane Dembélé,22,France,Europe,Europe Tier 1,10,10,42500000,190000,Left,3,5,93,79,80,87,36,57,Attacking Midfield,2090,11,6,3.599999905,1,0,0.699999988,4
64,180206,M. Pjanic,Miralem Pjanic,29,Bosnia Herzegovina,Europe,Europe Tier 1,10,10,42500000,180000,Right,3,4,68,68,87,85,75,67,Midfield (Attacking/Defensive),3103,4,7,2.5,6,1,0.800000012,3
65,211117,D. Alli,Bamidele Alli,23,England,Europe,Europe Tier 1,7,8,41500000,110000,Right,3,3,72,81,79,82,71,79,"Attacking Midfield,Forward",2544,5,6,3.700000048,4,0,1.700000048,1
66,230658,Arthur,Arthur Henrique Ramos Oliveira Melo,22,Brazil,South America,Europe Tier 1,10,10,4.10E+07,180000,Right,2,3,69,71,81,86,73,70,Defensive Midfield,2008,0,1,0.200000003,3,0,0.200000003,0
67,184087,T. Alderweireld,Toby Alderweireld,30,Belgium,Europe,Europe Tier 1,7,8,4.10E+07,150000,Right,3,3,64,55,72,66,88,79,Defense,4004,0,0,1.400000095,5,0,3.700000048,0
68,178603,M. Hummels,Mats  Hummels,30,Germany,Europe,Europe Tier 1,7,9,4.10E+07,130000,Right,4,3,51,58,76,72,89,76,Defense,2316,2,1,1.599999905,2,0,7.200000286,0
69,189513,Parejo,Daniel Parejo Muñoz,30,Spain,Europe,Europe Tier 1,6,8,4.10E+07,70000,Right,2,4,41,80,88,79,70,69,Midfield (Attacking/Defensive),4071,10,7,3.800000191,10,1,1.200000048,9
70,198710,J. Rodríguez,James David Rodríguez Rubio,27,Colombia,South America,Europe Tier 1,10,10,40500000,225000,Left,4,2,55,86,87,86,50,63,Attacking Midfield,1479,7,4,2.799999952,3,0,0.400000006,3
71,213345,K. Coman,Kingsley Coman,23,France,Europe,Europe Tier 1,9,10,40500000,120000,Right,2,3,92,76,77,87,29,60,"Attacking Midfield,Forward",1521,7,4,2.200000048,2,0,0.600000024,2
72,202556,M. Depay,Memphis Depay,25,Netherlands,Europe,Europe Tier 1,6,9,40500000,110000,Right,3,3,87,80,81,84,32,78,"Attacking Midfield,Forward",3355,11,14,5.099999905,5,0,0.600000024,3
73,212194,J. Brandt,Julian Brandt,23,Germany,Europe,Europe Tier 1,7,9,40500000,90000,Right,2,4,82,78,81,85,40,68,"Attacking Midfield,Forward",3083,8,12,3.700000048,0,0,2.299999952,3
74,193747,Koke,Jorge Resurrección Merodio,27,Spain,Europe,Europe Tier 1,9,9,40500000,90000,Right,3,4,68,75,86,82,74,79,Midfield (Attacking/Defensive),3151,5,5,1.599999905,8,1,0.800000012,1
75,189332,Jordi Alba,Jordi Alba Ramos,30,Spain,Europe,Europe Tier 1,10,10,4.00E+07,225000,Left,3,3,90,69,81,83,79,73,"Defensive Midfield,Defense",3978,3,13,0.899999976,8,0,1,1
76,175943,D. Mertens,Dries Mertens,32,Belgium,Europe,Europe Tier 1,7,9,4.00E+07,130000,Right,3,4,88,83,80,91,35,53,"Attacking Midfield,Forward",2989,19,13,7.300000191,2,0,0.400000006,4
77,209658,L. Goretzka,Leon Goretzka,24,Germany,Europe,Europe Tier 1,9,10,4.00E+07,120000,Right,3,4,81,77,80,81,75,79,Midfield (Attacking/Defensive),2347,8,4,3,3,0,2.299999952,1
78,206113,S. Gnabry,Serge Gnabry,23,Germany,Europe,Europe Tier 1,9,10,39500000,120000,Right,2,4,90,82,75,86,43,69,"Attacking Midfield,Forward",2222,10,6,4.600000381,1,0,0.300000012,3
79,183898,A. Di María,Ángel Fabián Di María Hernández,31,Argentina,South America,Europe Tier 1,9,10,3.90E+07,150000,Left,4,2,84,79,84,87,48,68,"Attacking Midfield,Forward",3000,14,14,5.5,3,0,0.5,3
80,216594,N. Fekir,Nabil Fekir,25,France,Europe,Europe Tier 1,2,5,3.90E+07,40000,Left,3,3,78,82,81,88,33,77,"Attacking Midfield,Forward",2497,12,9,7.400000095,8,0,1.299999952,7
81,152729,Piqué,Gerard Piqué Bernabéu,32,Spain,Europe,Europe Tier 1,10,10,3.80E+07,275000,Right,4,3,56,61,72,68,88,80,Defense,4140,6,2,0.699999988,7,0,5.300000191,1
82,168651,I. Rakitic,Ivan Rakitic,31,Croatia,Europe,Europe Tier 1,10,10,3.80E+07,250000,Right,4,4,62,81,86,81,74,70,Midfield (Attacking/Defensive),3664,4,7,2.800000191,7,1,1.700000048,1
83,204963,Carvajal,Daniel Carvajal Ramos,27,Spain,Europe,Europe Tier 1,10,10,3.80E+07,2.00E+05,Right,3,3,81,47,78,81,82,80,Defense,2525,1,3,1.200000048,11,0,1.299999952,1
84,197445,D. Alaba,David Olatukunbo Alaba,27,Austria,Europe,Europe Tier 1,9,10,3.80E+07,130000,Left,4,4,83,73,81,80,80,76,"Defensive Midfield,Defense",3164,3,5,2.099999905,4,0,3.099999905,1
85,199914,Allan,Allan Marques Loureiro,28,Brazil,South America,Europe Tier 1,7,9,3.80E+07,110000,Right,2,3,75,71,78,84,85,84,Defensive Midfield,3568,1,3,1.600000024,11,0,0.699999988,2
86,173731,G. Bale,Gareth Frank Bale,29,Wales,Europe,Europe Tier 1,10,10,37500000,250000,Left,4,3,91,87,82,82,58,76,"Attacking Midfield,Forward",2283,11,5,5.899999619,4,0,3,2
87,220814,L. Hernández,Lucas Hernández,23,France,Europe,Europe Tier 1,9,10,37500000,110000,Left,3,3,81,54,70,71,83,82,Defense,1569,1,0,0.400000006,6,0,2.800000191,1
88,192774,K. Manolas,Kostas Manolas,28,Greece,Europe,Europe Tier 1,7,9,37500000,1.00E+05,Right,3,2,82,25,42,60,86,81,Defense,2988,2,1,1.399999976,6,0,5.099999905,1
89,198706,Luis Alberto,Luis Alberto Romero Alconchel,26,Spain,Europe,Europe Tier 1,6,7,37500000,80000,Right,2,3,71,76,84,85,49,59,"Attacking Midfield,Forward",2221,5,6,3.700000048,6,1,1,3
90,232432,L. Jovic,Luka Jovic,21,Serbia,Europe,Europe Tier 1,10,10,3.60E+07,150000,Right,1,5,77,82,68,81,29,74,Forward,3203,27,6,6.299999714,2,0,3.799999952,5
91,210514,João Cancelo,João Pedro Cavaco Cancelo,25,Portugal,Europe,Europe Tier 1,9,10,36500000,150000,Right,2,3,90,65,80,84,78,71,"Defensive Midfield,Defense",2446,1,5,1.700000048,6,0,1.799999952,2
92,201995,Felipe Anderson,Felipe  Anderson Pereira Gomes,26,Brazil,South America,Europe Tier 1,4,5,36500000,120000,Right,3,4,89,77,79,89,55,61,"Attacking Midfield,Forward",3054,9,4,1.600000024,3,0,0.300000012,6
93,168542,David Silva,David Josué Jiménez Silva,33,Spain,Europe,Europe Tier 1,9,10,3.60E+07,275000,Left,4,2,65,74,88,89,52,57,Midfield (Attacking/Defensive),3131,9,10,2.899999857,3,0,1.200000048,3
94,226271,Fabián,Fabián Ruiz Peña,23,Spain,Europe,Europe Tier 1,7,9,3.60E+07,80000,Left,1,4,65,78,78,83,74,69,Midfield (Attacking/Defensive),2904,6,4,6.600000381,3,1,2.800000191,3
95,231677,M. Rashford,Marcus Rashford,21,England,Europe,Europe Tier 1,7,8,3.50E+07,120000,Right,2,3,92,82,73,84,45,77,"Attacking Midfield,Forward",3069,12,6,5.599999905,4,1,1.599999905,3
96,226226,G. Lo Celso,Giovani Lo Celso,23,Argentina,South America,Europe Tier 1,2,5,3.50E+07,1.00E+05,Left,1,3,77,78,82,85,65,72,"Attacking Midfield,Forward",2963,14,5,4.299999714,9,0,0.899999976,7
97,205175,A. Milik,Arkadiusz Milik,25,Poland,Europe,Europe Tier 1,7,9,3.50E+07,90000,Left,3,3,69,85,64,76,39,74,Forward,2973,19,4,8.199999809,6,0,3.299999952,4
98,167664,G. Higuaín,Gonzalo Gerardo Higuaín,31,Argentina,South America,Europe Tier 1,10,10,34500000,170000,Right,4,4,63,85,71,80,31,71,Forward,2846,13,2,11.20000005,4,1,1.600000024,1
99,211300,A. Martial,Anthony Martial,23,France,Europe,Europe Tier 1,7,8,34500000,140000,Right,3,3,89,81,72,86,41,71,"Attacking Midfield,Forward",2131,11,2,2.899999857,3,0,1,2
100,226110,N. Pépé,Nicolas Pépé,24,Ivory Coast,Africa,Europe Tier 1,7,7,34500000,1.00E+05,Left,1,3,91,81,75,85,33,67,"Attacking Midfield,Forward",3332,22,11,3.099999905,1,0,1.200000048,13
101,212188,T. Werner,Timo Werner,23,Germany,Europe,Europe Tier 1,6,8,34500000,70000,Right,3,4,92,81,67,83,35,69,"Attacking Midfield,Forward",2615,16,7,5.599999905,1,0,1.299999952,5
102,192629,Iago Aspas,Iago Aspas Juncal,31,Spain,Europe,Europe Tier 1,4,5,34500000,50000,Left,2,3,78,84,77,85,35,64,"Attacking Midfield,Forward",2262,20,6,2.599999905,5,0,0.899999976,6
103,224411,Gonçalo Guedes,Gonçalo Manuel Ganchinho Guedes,22,Portugal,Europe,Europe Tier 1,6,8,34500000,50000,Right,2,4,90,79,76,84,36,70,"Attacking Midfield,Forward",2298,8,4,5,4,0,1.299999952,3
104,212523,Anderson Talisca,Anderson Souza Conceição,25,Brazil,South America,Asia Pacific,6,10,34500000,40000,Left,2,4,77,82,80,81,57,72,"Attacking Midfield,Forward",1306,11,2,5.099999905,1,0,1,7
105,220834,Marco Asensio,Marco Asensio Willemsen,23,Spain,Europe,Europe Tier 1,10,10,3.40E+07,180000,Left,3,3,81,80,82,84,43,62,Attacking Midfield,2081,3,4,4.400000095,3,0,0.400000006,0
106,219683,C. Tolisso,Corentin Tolisso,24,France,Europe,Europe Tier 1,9,10,3.40E+07,110000,Right,2,3,69,77,79,78,76,79,"Defensive Midfield,Defense",52,1,0,0.5,0,0,1,0
107,143076,A. Gómez,Alejandro Darío Gómez,31,Argentina,South America,Europe Tier 1,3,6,3.40E+07,90000,Right,3,4,89,78,81,86,39,55,"Attacking Midfield,Forward",2913,7,11,3,5,0,0.300000012,7
108,213565,T. Lemar,Thomas Lemar,23,France,Europe,Europe Tier 1,9,9,3.40E+07,60000,Left,3,2,83,76,82,85,59,67,Attacking Midfield,2239,3,4,1.400000095,5,0,0.699999988,1
109,191043,Alex Sandro,Alex Sandro Lobo Silva,28,Brazil,South America,Europe Tier 1,10,10,3.30E+07,150000,Left,3,3,83,65,77,80,82,82,"Defensive Midfield,Defense",3135,1,2,1.399999976,10,0,3.799999952,4
110,210008,A. Rabiot,Adrien Rabiot,24,France,Europe,Europe Tier 1,10,10,3.30E+07,120000,Left,2,3,73,74,79,80,77,80,Defensive Midfield,1346,2,1,1.299999952,3,0,4.400000095,1
111,212462,Alex Telles,Alex Nicolao Telles,26,Brazil,South America,Europe Tier 3,7,10,3.30E+07,20000,Left,3,2,85,72,84,81,80,76,"Defensive Midfield,Defense",3850,5,11,1.700000048,5,0,3.5,5
112,172871,J. Vertonghen,Jan Vertonghen,32,Belgium,Europe,Europe Tier 1,7,8,32500000,150000,Left,3,3,63,63,74,72,87,79,Defense,2764,2,1,1.299999952,4,1,3.799999952,3
113,202166,J. Draxler,Julian Draxler,25,Germany,Europe,Europe Tier 1,9,10,32500000,1.00E+05,Right,3,5,77,79,81,86,55,63,Attacking Midfield,2330,3,8,1.100000024,8,0,1,3
114,224179,Borja Iglesias,Borja Iglesias Quintas,26,Spain,Europe,Europe Tier 1,2,5,32500000,40000,Right,1,3,67,83,63,76,35,82,Forward,3082,17,3,2.400000095,5,0,1.799999952,2
115,208418,Y. Carrasco,Yannick Ferreira Carrasco,25,Belgium,Europe,Asia Pacific,1,2,3.10E+07,20000,Right,3,4,90,80,75,87,39,64,"Attacking Midfield,Forward",2085,17,7,3.400000095,9,0,0.200000003,6
116,205693,S. Haller,Sébastien Haller,25,France,Europe,Europe Tier 1,4,5,3.20E+07,120000,Right,1,2,72,81,62,76,51,82,Forward,2953,20,12,4.300000191,5,0,12.5,4
117,200454,Paco Alcácer,Francisco Alcácer García,25,Spain,Europe,Europe Tier 1,7,9,3.20E+07,1.00E+05,Right,2,4,79,84,68,80,36,63,"Attacking Midfield,Forward",1561,19,1,3.600000143,1,0,1.100000024,2
118,198717,W. Zaha,Wilfried Zaha,26,Ivory Coast,Africa,Europe Tier 1,2,3,3.20E+07,90000,Right,2,3,91,76,72,88,27,74,"Attacking Midfield,Forward",3041,10,5,2.099999905,8,1,0.300000012,6
119,201153,Morata,Álvaro Borja Morata Martín,26,Spain,Europe,Europe Tier 1,7,8,3.20E+07,80000,Right,3,4,81,79,71,80,31,72,"Attacking Midfield,Forward",2387,13,1,10,9,0,15.20000052,1
120,231281,T. Alexander-Arnold,Trent Alexander-Arnold,20,England,Europe,Europe Tier 1,10,9,3.20E+07,80000,Right,1,4,80,62,82,78,78,70,"Defensive Midfield,Defense",3389,1,15,2.100000143,3,0,0.900000036,2
121,210413,A. Romagnoli,Alessio Romagnoli,24,Italy,Europe,Europe Tier 1,7,7,3.20E+07,50000,Left,2,3,63,40,55,66,85,79,Defense,3126,2,0,0.600000024,8,1,4.799999714,1
122,155862,Sergio Ramos,Sergio Ramos García,33,Spain,Europe,Europe Tier 1,10,10,31500000,3.00E+05,Right,4,3,72,68,75,73,87,85,Defense,2895,6,1,2.899999857,8,1,4.600000381,2
