"","S.No.","sofifa_id","short_name","long_name","Market_Value","Wages","age","pace","shooting","passing","dribbling","defending","physic","Mins_Total","Goals_total","Assists_Total","Shots_per_game_total","Yellow_Cards_Total","Red_Cards_Total","Aerial_Battles_Won_Per_Game_Total","Man_of_The_Match_Total","Player_international_reputation","weak_foot","Club_Int_Prestige","Club_Domestic_Prestige","Player_Continent","Club_Continent","preferred_foot","Position_Final","Clusters"
"134",134,213331,"J. Tah","Jonathan Tah",31,70,23,71,27,59,57,83,81,3209,3,1,0.699999988,3,0,4,0,2,4,6,7,"Europe","Europe Tier 1","Right","Defense",2
"136",136,220793,"D. Sánchez","Davinson Sánchez",30.5,90,23,74,45,57,66,83,81,2574,1,1,1.100000024,3,0,5.400000095,0,2,3,7,8,"South America","Europe Tier 1","Right","Defense",2
"141",141,203574,"J. Stones","John Stones",30,140,25,68,36,70,72,84,77,2185,0,0,0.5,1,0,4.5,0,2,4,9,10,"Europe","Europe Tier 1","Right","Defense",2
"174",176,217940,"D. Djené","Djené Dakonam Ortega",27,30,27,72,37,61,61,83,79,2981,0,0,0.400000006,11,2,2.599999905,3,1,4,2,5,"Africa","Europe Tier 1","Right","Defense",2
"177",179,225850,"P. Kimpembe","Presnel Kimpembe",26.5,70,23,75,39,67,67,81,83,2653,1,1,0.5,5,1,1.899999976,0,2,3,9,10,"Europe","Europe Tier 1","Left","Defense",2
"181",183,211320,"D. Rugani","Daniele Rugani",26,90,24,64,39,55,64,85,74,1621,2,0,0.600000024,4,0,4.5,0,2,3,10,10,"Europe","Europe Tier 1","Right","Defense",2
"198",200,183907,"J. Boateng","Jérôme Boateng",25,120,30,66,50,72,65,84,82,2144,0,2,0.699999988,1,0,2.5,0,4,4,9,10,"Europe","Europe Tier 1","Right","Defense",2
"201",203,138956,"G. Chiellini","Giorgio Chiellini",24.5,225,34,68,46,58,60,90,82,2530,1,1,0.800000012,4,0,4.399999619,0,4,3,10,10,"Europe","Europe Tier 1","Left","Defense",2
"223",226,197061,"J. Matip","Joël Andre Job Matip",23,100,27,61,46,68,67,83,76,2255,1,1,1.200000048,5,0,6.099999905,2,2,2,10,9,"Africa","Europe Tier 1","Right","Defense",2
"233",236,204639,"S. Savic","Stefan Savic",22.5,60,28,55,35,54,56,84,72,1483,0,2,0.400000006,3,2,2.899999857,0,2,3,9,9,"Europe","Europe Tier 1","Right","Defense",2
"239",242,201400,"Rafinha","Rafael Alcântara do Nascimento",22,30,26,67,76,79,84,68,60,304,1,0,1.899999976,1,0,1.100000024,0,2,4,10,10,"South America","Europe Tier 1","Left","Midfield (Attacking/Defensive)",2
"243",246,221660,"V. Lindelöf","Victor Nilsson Lindelöf",22,100,24,74,50,72,72,82,78,3232,1,1,0.600000024,2,0,3.599999905,0,2,4,7,8,"Europe","Europe Tier 1","Right","Defense",2
"256",259,184942,"Giuliano","Giuliano Victor de Paula",21.5,60,29,81,77,79,83,46,75,90,1,0,1,0,0,1,0,2,3,5,9,"South America","Asia Pacific","Right","Attacking Midfield,Forward",2
"262",265,200724,"Nacho Fernández","José Ignacio Fernández Iglesias",21,160,29,74,37,66,64,81,79,2151,0,1,1.100000024,7,2,3.5,0,2,4,10,10,"Europe","Europe Tier 1","Right","Defense",2
"276",279,233927,"Lucas Paquetá","Lucas Tolentino Coelho de Lima",19.5,30,21,76,75,75,81,60,77,851,1,1,1,5,1,1.299999952,0,1,2,7,7,"South America","Europe Tier 1","Left","Attacking Midfield,Forward",2
"283",286,225100,"J. Gomez","Joe Gomez",20,70,22,81,30,64,68,79,76,1585,0,0,0.5,3,0,3.399999857,0,1,3,10,9,"Europe","Europe Tier 1","Right","Defense",2
"298",301,207862,"M. Ginter","Matthias Ginter",19.5,30,25,62,58,69,65,82,77,2380,2,0,0.899999976,2,0,2.599999905,1,2,3,5,6,"Europe","Europe Tier 1","Right","Defensive Midfield,Defense",2
"302",305,197655,"S. Coates","Sebastián Coates Nión",15.5,20,28,54,43,55,59,83,85,3510,1,0,1.200000048,10,1,6.099999905,1,3,3,4,9,"South America","Europe Tier 2","Right","Defense",2
"303",308,192366,"N. Otamendi","Nicolás Hernán Otamendi",19,140,31,56,57,63,59,83,78,1636,0,0,1.600000024,3,1,6.400000095,0,3,3,9,10,"South America","Europe Tier 1","Right","Defense",2
"304",309,213661,"A. Christensen","Andreas Christensen",19,80,23,68,31,63,68,82,72,1949,0,0,0.200000003,3,0,5,0,2,3,7,8,"Europe","Europe Tier 1","Right","Defensive Midfield,Defense",2
"309",314,204638,"W. Orban","Willi Orban",19,60,26,52,37,52,56,82,80,2500,4,1,2.300000191,5,0,9.399999619,3,2,3,6,8,"Europe","Europe Tier 1","Right","Defense",2
"317",322,198784,"A. Oxlade-Chamberlain","Alex Oxlade-Chamberlain",18.5,90,25,82,73,78,84,66,73,19,0,0,0.5,0,0,0,0,2,4,10,9,"Europe","Europe Tier 1","Right","Midfield (Attacking/Defensive)",2
"319",324,230977,"M. Almirón","Miguel Almirón",18.5,50,25,89,74,76,82,48,63,763,0,0,1.899999976,0,0,0.100000001,0,1,2,3,4,"South America","Europe Tier 1","Left","Attacking Midfield,Forward",2
"320",325,216145,"A. Izzo","Armando Izzo",18.5,50,27,68,33,48,65,83,75,3274,4,1,0.699999988,6,0,3.200000048,6,1,4,4,6,"Europe","Europe Tier 1","Right","Defense",2
"322",327,226161,"Marcos Llorente","Marcos Llorente Moreno",18.5,50,24,58,50,73,71,77,73,688,0,0,1.100000024,1,0,1.299999952,0,1,3,9,9,"Europe","Europe Tier 1","Right","Defensive Midfield",2
"327",332,239818,"Rúben Dias","Rúben Alves Dias",18.5,15,22,64,38,50,59,81,83,3847,4,2,1.800000072,11,1,8.300000191,1,1,4,7,10,"Europe","Europe Tier 2","Right","Defense",2
"333",340,237678,"I. Konaté","Ibrahima Konaté",18,40,20,78,27,54,68,80,78,2701,2,1,0.800000012,7,0,5.599999905,0,1,2,6,8,"Europe","Europe Tier 1","Right","Defense",2
"335",343,179645,"S. Kjær","Simon Thorup Kjær",18,60,30,65,55,63,55,81,78,2676,0,0,0.800000012,6,0,7.400000095,1,3,3,7,7,"Europe","Europe Tier 1","Right","Defense",2
"339",348,234035,"Odriozola","Álvaro Odriozola Arzalluz",17.5,110,23,89,53,71,77,77,69,1407,0,2,0.100000001,2,0,0.400000006,0,1,3,10,10,"Europe","Europe Tier 1","Right","Defense",2
"341",350,204311,"K. Zouma","Kurt Happy Zouma",17.5,80,24,64,51,59,55,78,83,2613,2,2,0.600000024,3,1,3.099999905,0,2,3,7,8,"Europe","Europe Tier 1","Right","Defense",2
"347",356,222028,"J. Weigl","Julian Weigl",17.5,60,23,61,47,75,76,78,66,1745,1,0,0.699999988,5,0,1.400000095,0,3,3,7,9,"Europe","Europe Tier 1","Right","Defensive Midfield,Defense",2
"348",358,208920,"N. Aké","Nathan Aké",17.5,60,24,75,53,70,71,81,77,3412,4,0,0.699999988,3,0,2.299999952,1,1,3,1,3,"Europe","Europe Tier 1","Left","Defensive Midfield,Defense",2
"355",366,227950,"Yeray","Yeray Álvarez López",17.5,20,24,62,49,58,61,81,74,2614,0,0,0.400000006,10,0,3.400000095,2,2,3,6,6,"Europe","Europe Tier 1","Right","Defense",2
"368",380,216194,"Dani García","Daniel García Carrillo",17,30,29,42,69,73,75,78,79,2482,0,0,0.100000001,13,0,2,0,2,3,6,6,"Europe","Europe Tier 1","Right","Defensive Midfield",2
"370",382,216435,"S. Lobotka","Stanislav Lobotka",17,20,24,64,63,76,78,70,66,2493,0,1,0.400000006,1,0,0.300000012,0,1,4,4,5,"Europe","Europe Tier 1","Right","Defensive Midfield",2
"376",389,225508,"E. Bailly","Eric Bailly",16.5,100,25,76,42,58,62,79,80,945,0,0,0.800000012,1,1,2.399999857,0,2,3,7,8,"Africa","Europe Tier 1","Right","Defense",2
"377",390,207599,"M. Keane","Michael Keane",16.5,80,26,60,49,62,66,80,79,2970,1,2,0.899999976,2,0,5.800000191,2,2,3,5,6,"Europe","Europe Tier 1","Right","Defense",2
"380",394,237692,"P. Foden","Philip Foden",16.5,50,19,74,64,74,79,55,55,450,2,0,2.899999857,0,0,0.5,0,1,3,9,10,"Europe","Europe Tier 1","Left","Attacking Midfield",2
"381",395,170481,"E. Garay","Ezequiel Marcelo Garay",16.5,50,32,43,60,67,62,82,81,2739,2,0,0.899999976,5,0,7.5,1,3,3,6,8,"South America","Europe Tier 1","Right","Defense",2
"391",405,226229,"T. Kehrer","Thilo Kehrer",16,60,22,74,44,65,67,78,76,2385,1,2,0.800000012,6,0,3.799999952,1,1,5,9,10,"Europe","Europe Tier 1","Right","Defensive Midfield,Defense",2
"393",407,238476,"D. Zagadou","Dan-Axel Zagadou",16,50,20,62,34,61,50,80,80,1614,2,0,1.400000095,5,0,5.699999809,0,1,3,7,9,"Europe","Europe Tier 1","Left","Defense",2
"397",411,205362,"M. Nastasic","Matija Nastasic",16,40,26,71,32,63,54,82,74,2991,1,0,0.800000012,6,1,3.400000095,1,2,2,6,8,"Europe","Europe Tier 1","Left","Defense",2
"408",423,226851,"B. Pavard","Benjamin Pavard",15.5,70,23,69,47,72,70,81,74,2606,0,0,0.400000006,3,0,2.799999952,0,1,3,9,10,"Europe","Europe Tier 1","Right","Defense",2
"412",427,225711,"A. Diallo","Abdou Diallo",15.5,60,23,77,37,70,76,78,76,3001,1,1,0.699999988,2,1,3.5,1,2,3,9,10,"Europe","Europe Tier 1","Left","Defense",2
"415",430,220182,"J. Denayer","Jason Denayer",15.5,50,24,75,42,63,68,79,78,3468,2,0,0.600000024,3,0,2.899999857,0,1,3,6,9,"Europe","Europe Tier 1","Right","Defensive Midfield,Defense",2
"417",432,222331,"L. Klostermann","Lukas Klostermann",15.5,40,23,85,50,63,71,79,75,2148,5,1,1.299999952,1,0,1.900000095,2,1,3,6,8,"Europe","Europe Tier 1","Right","Defensive Midfield,Defense",2
"425",442,199577,"Sergi Gómez","Sergi Gómez Solà",15.5,20,27,64,41,65,63,81,75,3572,0,1,0.900000036,1,1,6.699999809,0,1,2,7,7,"Europe","Europe Tier 1","Right","Defense",2
"435",454,188829,"N. Nkoulou","Nicolas N'Koulou",15,50,29,70,44,64,70,82,74,3215,2,0,0.200000003,6,1,2.299999952,2,3,3,4,6,"Africa","Europe Tier 1","Right","Defense",2
"437",456,234378,"D. Rice","Declan Rice",15,50,20,62,37,64,68,77,77,3005,2,0,0.600000024,4,0,1.600000024,2,1,3,4,5,"Europe","Europe Tier 1","Right","Defensive Midfield,Defense",2
"438",457,202884,"L. Spinazzola","Leonardo Spinazzola",15,50,26,81,64,74,80,76,73,665,0,1,1.799999952,0,0,1.100000024,0,2,4,7,8,"Europe","Europe Tier 1","Right","Defensive Midfield,Defense",2
"443",462,212977,"N. Stark","Niklas Stark",15,30,24,78,53,66,67,80,75,1871,1,0,0.5,5,0,2.599999905,0,1,3,4,5,"Europe","Europe Tier 1","Right","Defensive Midfield,Defense",2
"452",471,202335,"E. Dier","Eric Dier",14.5,80,25,54,63,71,64,80,84,1777,3,0,0.800000012,5,0,3.599999905,0,2,3,7,8,"Europe","Europe Tier 1","Right","Defensive Midfield,Defense",2
"458",477,198118,"J. Guilavogui","Josuha Guilavogui",13,50,28,59,59,67,65,83,79,1572,2,1,0.400000006,5,0,1.5,1,2,3,4,6,"Europe","Europe Tier 1","Right","Defensive Midfield,Defense",2
"467",486,204024,"C. Kramer","Christoph Kramer",14.5,30,28,52,49,71,73,77,77,1136,2,1,0.400000006,6,0,0.899999976,1,2,3,5,6,"Europe","Europe Tier 1","Right","Defensive Midfield",2
"470",489,204525,"Iñigo Martínez","Íñigo Martínez Berridi",14.5,30,28,70,56,64,61,80,78,2903,0,0,0.800000012,12,0,2.900000095,0,2,3,6,6,"Europe","Europe Tier 1","Left","Defense",2
"473",492,242236,"Ferro","Francisco Reis Ferreira",14.5,10,22,54,43,56,63,80,76,1534,3,0,1.299999952,1,1,6.399999619,2,1,2,7,10,"Europe","Europe Tier 2","Right","Defense",2
"475",494,212501,"L. Dendoncker","Leander Dendoncker",14,70,24,67,72,77,71,78,83,1469,2,0,0.899999976,1,0,2.900000095,2,2,4,2,5,"Europe","Europe Tier 1","Right","Defensive Midfield,Defense",2
"476",495,231633,"I. Diop","Issa Diop",14,60,22,67,36,52,55,79,79,2970,1,0,0.400000006,4,0,2.299999952,1,2,3,4,5,"Europe","Europe Tier 1","Right","Defense",2
"477",496,218339,"M. Dahoud","Mahmoud Dahoud",14,60,23,73,66,75,84,64,68,1012,1,0,1.600000024,3,0,0.400000006,0,2,4,7,9,"Europe","Europe Tier 1","Right","Midfield (Attacking/Defensive)",2
"479",499,224221,"J. Andersen","Joachim Andersen",14,50,23,60,40,54,55,78,79,2880,0,1,0.400000006,7,0,2.299999952,0,1,3,6,9,"Europe","Europe Tier 1","Right","Defense",2
"484",504,204082,"J. Brooks","John Anthony Brooks",14,50,26,71,39,58,64,80,75,2610,3,2,0.699999988,7,0,2.700000048,1,2,3,4,6,"North America","Europe Tier 1","Left","Defense",2
"487",507,202695,"J. Tarkowski","James Tarkowski",14,40,26,58,45,66,63,79,78,3087,3,1,0.600000024,8,0,4.800000191,3,1,4,1,2,"Europe","Europe Tier 1","Right","Defense",2
"492",512,229558,"D. Upamecano","Dayotchanculle Upamecano",14,30,20,76,36,59,61,75,80,1652,0,0,1.700000048,5,0,5.099999905,0,1,3,6,8,"Europe","Europe Tier 1","Right","Defense",2
"495",515,239433,"N. Maksimovic","Nemanja Maksimovic",14,20,24,62,67,74,71,76,74,3211,1,0,0.899999976,5,0,2.299999952,0,1,3,2,5,"Europe","Europe Tier 1","Right","Defensive Midfield",2
"497",517,231521,"E. Palacios","Exequiel Palacios",14,20,20,77,73,73,77,68,74,922,1,4,1.200000048,2,0,0.800000012,0,1,4,9,10,"South America","South America","Right","Attacking Midfield",2
"502",523,228229,"F. Balbuena","Fabián Balbuena",13,80,27,56,40,52,50,80,79,2014,1,0,0.800000012,2,0,3,1,1,3,4,5,"South America","Europe Tier 1","Right","Defense",2
"506",527,212150,"M. Meyer","Max  Meyer",13.5,50,23,67,62,79,83,65,65,1415,1,2,1.299999952,3,0,0.100000001,0,2,4,2,3,"Europe","Europe Tier 1","Right","Attacking Midfield,Forward",2
"513",534,192641,"K. Vogt","Kevin Vogt",13.5,40,27,73,57,71,67,80,79,2755,0,0,0.600000024,7,0,1.799999952,0,2,3,5,6,"Europe","Europe Tier 1","Right","Defensive Midfield,Defense",2
"514",535,201377,"J. Murillo","Jeison Fabián Murillo Cerón",13.5,40,27,75,40,59,63,79,80,292,0,0,1.5,1,0,9,0,2,3,6,8,"South America","Europe Tier 1","Right","Defense",2
"521",542,192816,"L. Cabrera","Leandro Cabrera",13,30,27,58,31,58,57,79,80,2794,2,0,0.699999988,9,1,5,2,1,3,2,5,"South America","Europe Tier 1","Left","Defense",2
"525",546,219693,"Diego Carlos","Diego Carlos Santos Silva",13.5,20,26,77,44,58,68,78,80,3149,1,0,0.899999976,8,0,2.5,1,2,4,7,7,"South America","Europe Tier 1","Right","Defense",2
"526",547,208777,"Óliver Torres","Óliver Torres Muñoz",13.5,15,24,67,66,78,82,63,52,1604,2,2,1.200000048,3,0,0.5,1,3,4,7,7,"Europe","Europe Tier 1","Right","Midfield (Attacking/Defensive)",2
"528",550,239053,"F. Valverde","Federico Valverde",13,90,20,68,69,73,73,66,67,791,0,0,1.399999976,5,0,0.900000036,0,1,3,10,10,"South America","Europe Tier 1","Right","Midfield (Attacking/Defensive)",2
"529",551,189461,"J. Wilshere","Jack Wilshere",13,80,27,64,68,80,81,63,66,389,0,1,0.300000012,2,0,0.300000012,0,3,2,4,5,"Europe","Europe Tier 1","Left","Midfield (Attacking/Defensive)",2
"531",553,197853,"S. Aurier","Serge Aurier",13,80,26,77,59,73,76,77,76,999,0,3,0.899999976,2,0,3.299999952,0,2,3,7,8,"Africa","Europe Tier 1","Right","Defensive Midfield,Defense",2
"534",556,203890,"S. Vrsaljko","Šime Vrsaljko",13,50,27,77,55,74,75,79,77,823,0,2,0.200000003,2,0,2.200000048,0,2,3,9,9,"Europe","Europe Tier 1","Right","Defensive Midfield,Defense",2
"538",561,186547,"M. Musacchio","Mateo Pablo Musacchio",13,40,28,66,47,63,67,83,72,2693,1,0,1.399999976,3,0,4,0,3,3,7,7,"South America","Europe Tier 1","Right","Defense",2
"541",564,201956,"S. Sané","Salif Sané",13,40,28,62,49,65,63,80,81,3153,2,0,1.299999952,5,0,8,1,2,3,6,8,"Africa","Europe Tier 1","Right","Defensive Midfield,Defense",2
"544",567,228881,"D. Calabria","Davide Calabria",11,30,22,76,43,68,74,76,69,2314,1,1,0.400000006,5,0,1.799999952,0,1,3,7,7,"Europe","Europe Tier 1","Right","Defensive Midfield,Defense",2
"545",568,205192,"Denis Suárez","Denis Suárez Fernández",13,20,25,76,72,79,83,59,56,41,0,0,0.5,0,0,0.5,0,2,3,4,5,"Europe","Europe Tier 1","Right","Attacking Midfield",2
"546",569,221491,"N. Elvedi","Nico Elvedi",13,20,22,71,34,62,69,78,75,2626,2,1,0.5,1,0,2.700000048,2,2,3,5,6,"Europe","Europe Tier 1","Right","Defense",2
"547",570,240289,"Calero","Fernando Calero Villa",13,20,23,72,46,69,71,79,76,3130,1,0,0.300000012,7,0,1.899999976,1,1,4,2,5,"Europe","Europe Tier 1","Right","Defense",2
"550",574,237629,"A. Maier","Arne Maier",13,20,20,67,57,72,75,68,70,2069,0,0,0.800000012,2,0,0.899999976,0,1,3,4,5,"Europe","Europe Tier 1","Right","Defensive Midfield",2
"556",580,179784,"B. Höwedes","Benedikt Höwedes",11,50,31,52,48,62,63,82,74,1736,3,0,0.899999976,3,0,5.300000191,1,3,3,4,9,"Europe","Europe Tier 2","Right","Defense",2
"559",584,189881,"C. Smalling","Chris Smalling",12.5,50,29,69,47,58,58,79,81,2848,1,0,1,2,0,7.400000095,1,3,3,7,8,"Europe","Europe Tier 1","Right","Defense",2
"560",585,194957,"P. Jones","Phil Jones",12.5,100,27,55,51,61,58,78,76,1534,0,1,0.300000012,1,0,4.300000191,0,2,3,7,8,"Europe","Europe Tier 1","Right","Defensive Midfield,Defense",2
"561",586,216150,"D. Zappacosta","Davide Zappacosta",12.5,40,27,78,66,72,75,76,74,844,0,1,1.700000048,1,0,1.100000024,0,2,3,7,8,"Europe","Europe Tier 1","Right","Defensive Midfield,Defense",2
"563",588,195086,"D. Lovren","Dejan Lovren",12.5,90,29,54,40,59,62,80,78,1167,1,0,0.5,1,0,4.400000095,1,2,4,10,9,"Europe","Europe Tier 1","Right","Defense",2
"565",590,202750,"W. Boly","Willy Boly",12.5,80,28,64,35,62,61,78,82,3169,4,0,0.699999988,2,1,3.799999952,2,1,4,2,5,"Europe","Europe Tier 1","Right","Defense",2
"568",593,220523,"Y. Mina","Yerry Mina",12.5,60,24,51,54,55,56,78,80,893,1,0,0.300000012,3,0,2.900000095,0,1,3,5,6,"South America","Europe Tier 1","Right","Defense",2
"569",594,199715,"Vitolo","Víctor Machín Pérez",12.5,60,29,76,76,76,79,41,75,841,0,1,0.699999988,2,0,0.300000012,0,2,4,9,9,"Europe","Europe Tier 1","Right","Attacking Midfield,Forward",2
"572",597,193601,"G. Pezzella","Germán Alejandro Pezzella",12.5,60,28,56,49,47,56,80,76,2852,2,1,0.800000012,6,0,3.799999952,1,1,3,6,6,"South America","Europe Tier 1","Right","Defense",2
"573",598,224294,"L. Cook","Lewis Cook",12.5,50,22,70,63,75,78,66,69,722,0,0,0.300000012,2,0,0.400000006,0,1,4,1,3,"Europe","Europe Tier 1","Right","Midfield (Attacking/Defensive)",2
"574",599,204259,"S. Arias","Santiago Arias Naranjo",12.5,50,27,83,53,69,75,76,77,2118,1,1,0.699999988,4,0,2.700000048,1,2,3,9,9,"South America","Europe Tier 1","Right","Defense",2
"575",600,227234,"L. Tousart","Lucas Tousart",12.5,50,22,62,53,66,64,79,83,2211,1,0,1.200000048,1,2,2.200000048,0,2,3,6,9,"Europe","Europe Tier 1","Right","Defensive Midfield",2
"582",607,187052,"Y. M'Vila","Yann Gérard M'Vila",12.5,40,29,70,61,75,74,75,78,3263,0,1,0.400000006,5,1,1.399999976,0,2,3,3,6,"Europe","Europe Tier 1","Right","Midfield (Attacking/Defensive)",2
"583",608,236355,"Luiz Felipe","Luiz Felipe Ramos Marchi",12.5,30,22,76,29,59,66,78,67,1685,1,1,0.899999976,5,0,3,1,1,3,6,7,"South America","Europe Tier 1","Right","Defense",2
"586",611,192678,"Kike García","Enrique García Martínez",12.5,30,29,61,79,63,75,38,73,1296,3,0,1.399999976,0,0,2.700000048,0,1,4,1,4,"Europe","Europe Tier 1","Right","Forward",2
"587",612,230899,"A. Lookman","Ademola Lookman",12.5,30,21,82,74,68,83,28,61,602,0,2,0.600000024,0,0,0.300000012,0,1,4,6,8,"Europe","Europe Tier 1","Right","Attacking Midfield,Forward",2
"589",614,182002,"Sidnei","Sidnei Rechel da Silva Júnior",12.5,30,29,70,55,61,64,78,82,2373,2,0,1.100000024,5,0,3.399999857,2,2,2,2,5,"South America","Europe Tier 1","Right","Defense",2
"590",615,215057,"I. Marcone","Iván Marcone",12.5,30,29,55,58,73,78,75,83,990,0,0,0,5,0,1.100000024,1,1,3,9,10,"South America","South America","Right","Defensive Midfield",2
"591",616,230965,"N. Nández","Nahitan Nández",12,30,23,77,67,68,76,76,83,912,2,1,0.699999988,7,0,1.200000048,0,1,3,1,4,"South America","Europe Tier 1","Right","Defensive Midfield",2
"595",620,236295,"Aarón Martín","Aarón Martín Caricol",12.5,20,22,72,47,73,76,77,65,2879,0,3,0.5,3,0,0.699999988,3,1,3,3,4,"Europe","Europe Tier 1","Left","Defensive Midfield,Defense",2
"596",621,228635,"Borja Mayoral","Borja Mayoral Moya",12.5,20,22,69,75,69,77,38,68,1614,3,2,0.800000012,1,0,0.800000012,0,1,4,10,10,"Europe","Europe Tier 1","Right","Forward",2
"598",623,215399,"Rúben Vezo","Rúben Miguel Nunes Vezo",12.5,20,25,75,54,63,63,79,75,1684,2,1,1.300000012,7,0,4.599999905,0,1,2,1,3,"Europe","Europe Tier 1","Right","Defense",2
"600",625,208004,"J. Veltman","Joël Veltman",12.5,20,27,66,49,66,68,79,78,790,1,0,0.900000036,4,0,4.5,1,2,4,7,10,"Europe","Europe Tier 2","Right","Defense",2
"601",626,219792,"B. Santamaria","Baptiste Santamaria",12.5,20,24,64,63,73,77,75,73,3248,1,0,0.600000024,2,0,1,0,1,2,1,4,"Europe","Europe Tier 1","Right","Defensive Midfield",2
"608",633,236791,"A. Barák","Antonín Barák",11.5,15,24,64,73,76,76,52,71,329,0,0,0.5,0,0,0.600000024,0,1,3,3,4,"Europe","Europe Tier 1","Left","Attacking Midfield",2
"612",638,229773,"G. Dzhikiya","Georgiy Dzhikiya",12.5,50,25,82,53,61,64,78,81,2755,2,0,0.899999976,7,0,3.899999857,1,1,3,4,10,"Europe","Europe Tier 2","Left","Defense",2
"613",640,233113,"Aleñá","Carles Aleñá Castillo",11.5,80,21,75,68,73,78,61,62,723,2,0,1.5,2,0,0.300000012,1,1,3,10,10,"Europe","Europe Tier 1","Left","Midfield (Attacking/Defensive)",2
"617",644,199206,"D. Vida","Domagoj Vida",12,70,30,75,40,59,60,82,79,3145,3,0,0.5,8,1,5.199999809,1,3,3,7,10,"Europe","Europe Tier 2","Right","Defense",2
"619",646,177458,"S. Bender","Sven Bender",12,60,30,65,51,62,60,82,77,2258,0,0,1.200000048,4,0,5.600000381,0,2,4,6,7,"Europe","Europe Tier 1","Right","Defensive Midfield,Defense",2
"620",647,183285,"M. Sakho","Mamadou Sakho",12,60,29,53,33,65,56,78,83,2417,0,0,0.100000001,2,0,1.899999976,0,3,2,2,3,"Europe","Europe Tier 1","Left","Defense",2
"622",649,212153,"R. Gagliardini","Roberto Gagliardini",12,50,25,61,63,71,74,77,73,1085,5,0,1.299999952,4,0,1.899999976,2,2,2,7,9,"Europe","Europe Tier 1","Right","Defensive Midfield",2
"623",650,211382,"I. Amadou","Ibrahim Amadou",12,50,26,71,55,66,72,76,81,947,0,0,0.699999988,3,0,2.299999952,1,2,3,7,7,"Europe","Europe Tier 1","Right","Defensive Midfield,Defense",2
"624",651,157481,"Raúl Albiol","Raúl Albiol Tortajada",12,40,33,48,41,61,63,86,72,2208,1,0,0.400000006,5,0,4.600000381,0,3,3,7,8,"Europe","Europe Tier 1","Right","Defense",2
"627",654,213400,"D. Laxalt","Diego Laxalt",11,40,26,88,63,74,78,62,69,998,0,0,0.300000012,2,0,1.100000024,0,2,3,7,7,"South America","Europe Tier 1","Left","Defensive Midfield,Defense",2
"630",657,203487,"J. Lascelles","Jamaal Lascelles",12,40,25,59,28,51,57,78,80,2748,0,1,0.300000012,4,0,2.900000095,0,1,3,3,4,"Europe","Europe Tier 1","Right","Defense",2
"636",663,139720,"V. Kompany","Vincent Kompany",12,30,33,50,53,65,64,84,79,1428,1,0,0.300000012,6,0,2.700000048,0,4,3,7,10,"Europe","Europe Tier 3","Right","Defense",2
"637",664,251573,"Renan Lodi","Renan Augusto Lodi dos Santos",11.5,30,21,84,66,75,79,72,73,262,0,0,1,1,0,0.699999988,0,1,3,9,9,"South America","Europe Tier 1","Left","Defense",2
