"","S.No.","sofifa_id","short_name","long_name","Market_Value","Wages","age","pace","shooting","passing","dribbling","defending","physic","Mins_Total","Goals_total","Assists_Total","Shots_per_game_total","Yellow_Cards_Total","Red_Cards_Total","Aerial_Battles_Won_Per_Game_Total","Man_of_The_Match_Total","Player_international_reputation","weak_foot","Club_Int_Prestige","Club_Domestic_Prestige","Player_Continent","Club_Continent","preferred_foot","Position_Final","Clusters"
"45",45,231866,"Rodri","Rodrigo Hernández Cascante",47,150,23,67,68,77,77,82,80,3349,3,1,1.299999952,5,0,4.099999905,3,2,4,9,10,"Europe","Europe Tier 1","Right","Defensive Midfield",1
"46",46,189242,"Coutinho","Philippe Coutinho Correia",46.5,170,27,79,80,84,90,52,64,2883,8,5,4.799999714,2,0,0.5,1,3,4,10,10,"South America","Europe Tier 1","Right","Midfield (Attacking/Defensive)",1
"48",48,193301,"A. Lacazette","Alexandre Lacazette",46,160,28,82,85,75,86,40,74,3158,18,10,4.299999714,4,1,2.199999809,6,3,4,7,7,"Europe","Europe Tier 1","Right","Attacking Midfield,Forward",1
"49",49,192505,"R. Lukaku","Romelu Lukaku",46,110,26,75,82,73,72,35,84,2676,14,1,2.800000191,5,0,5,3,3,4,7,9,"Europe","Europe Tier 1","Left","Attacking Midfield,Forward",1
"50",50,201399,"M. Icardi","Mauro Emanuel Icardi Rivero",46,140,26,75,84,61,77,36,69,2810,15,4,6,0,0,4.400000095,3,3,4,7,9,"South America","Europe Tier 1","Right","Forward",1
"51",51,235790,"K. Havertz","Kai Havertz",46,70,20,84,78,79,84,44,65,3324,20,6,5.899999619,2,0,2.800000191,3,1,4,6,7,"Europe","Europe Tier 1","Left","Attacking Midfield,Forward",1
"52",52,177003,"L. Modric","Luka Modric",45,325,33,74,76,89,89,72,66,3085,3,7,2.300000191,7,0,0.699999988,1,4,4,10,10,"Europe","Europe Tier 1","Right","Midfield (Attacking/Defensive)",1
"53",53,165153,"K. Benzema","Karim Benzema",45,275,31,76,82,80,86,39,77,3552,25,8,5.5,1,0,2.300000191,9,4,4,10,10,"Europe","Europe Tier 1","Right","Forward",1
"54",54,201535,"R. Varane","Raphaël Varane",45,200,26,83,45,62,63,85,80,3117,2,0,1.600000024,1,1,5.900000095,0,3,3,10,10,"Europe","Europe Tier 1","Right","Defense",1
"55",55,220440,"C. Lenglet","Clément Lenglet",45,170,24,75,45,68,65,86,80,2934,1,0,1,10,1,3.5,1,2,4,10,10,"Europe","Europe Tier 1","Left","Defense",1
"56",56,209499,"Fabinho","Fábio Henrique Tavares",45,120,25,68,69,78,77,85,83,2740,1,2,0.900000036,9,0,4,1,3,2,10,9,"South America","Europe Tier 1","Right","Defensive Midfield,Defense",1
"58",58,208670,"H. Ziyech","Hakim Ziyech",45,40,26,80,75,86,83,50,66,3398,19,16,10.39999962,5,0,0.5,12,3,2,7,10,"Africa","Europe Tier 2","Left","Midfield (Attacking/Defensive)",1
"59",59,192387,"C. Immobile","Ciro Immobile",44.5,100,29,80,85,63,81,39,76,3246,16,10,5.800000191,8,0,1.299999952,5,3,4,6,7,"Europe","Europe Tier 1","Right","Forward",1
"60",60,233049,"J. Sancho","Jadon Sancho",44.5,60,19,88,72,77,90,36,60,2902,13,15,1.600000024,3,0,0,7,2,4,7,9,"Europe","Europe Tier 1","Right","Attacking Midfield",1
"61",61,189596,"T. Müller","Thomas Müller",43.5,170,29,72,83,79,78,55,71,2745,6,10,3.200000048,1,1,3.399999857,3,4,4,9,10,"Europe","Europe Tier 1","Right","Attacking Midfield,Forward",1
"62",62,216267,"A. Robertson","Andrew Robertson",43.5,120,25,85,62,77,79,80,75,4228,0,13,0.899999976,7,0,1.100000024,1,1,2,10,9,"Europe","Europe Tier 1","Left","Defensive Midfield,Defense",1
"63",63,231443,"O. Dembélé","Ousmane Dembélé",42.5,190,22,93,79,80,87,36,57,2090,11,6,3.599999905,1,0,0.699999988,4,3,5,10,10,"Europe","Europe Tier 1","Left","Attacking Midfield",1
"64",64,180206,"M. Pjanic","Miralem Pjanic",42.5,180,29,68,68,87,85,75,67,3103,4,7,2.5,6,1,0.800000012,3,3,4,10,10,"Europe","Europe Tier 1","Right","Midfield (Attacking/Defensive)",1
"65",65,211117,"D. Alli","Bamidele Alli",41.5,110,23,72,81,79,82,71,79,2544,5,6,3.700000048,4,0,1.700000048,1,3,3,7,8,"Europe","Europe Tier 1","Right","Attacking Midfield,Forward",1
"66",66,230658,"Arthur","Arthur Henrique Ramos Oliveira Melo",41,180,22,69,71,81,86,73,70,2008,0,1,0.200000003,3,0,0.200000003,0,2,3,10,10,"South America","Europe Tier 1","Right","Defensive Midfield",1
"67",67,184087,"T. Alderweireld","Toby Alderweireld",41,150,30,64,55,72,66,88,79,4004,0,0,1.400000095,5,0,3.700000048,0,3,3,7,8,"Europe","Europe Tier 1","Right","Defense",1
"68",68,178603,"M. Hummels","Mats  Hummels",41,130,30,51,58,76,72,89,76,2316,2,1,1.599999905,2,0,7.200000286,0,4,3,7,9,"Europe","Europe Tier 1","Right","Defense",1
"69",69,189513,"Parejo","Daniel Parejo Muñoz",41,70,30,41,80,88,79,70,69,4071,10,7,3.800000191,10,1,1.200000048,9,2,4,6,8,"Europe","Europe Tier 1","Right","Midfield (Attacking/Defensive)",1
"70",70,198710,"J. Rodríguez","James David Rodríguez Rubio",40.5,225,27,55,86,87,86,50,63,1479,7,4,2.799999952,3,0,0.400000006,3,4,2,10,10,"South America","Europe Tier 1","Left","Attacking Midfield",1
"71",71,213345,"K. Coman","Kingsley Coman",40.5,120,23,92,76,77,87,29,60,1521,7,4,2.200000048,2,0,0.600000024,2,2,3,9,10,"Europe","Europe Tier 1","Right","Attacking Midfield,Forward",1
"72",72,202556,"M. Depay","Memphis Depay",40.5,110,25,87,80,81,84,32,78,3355,11,14,5.099999905,5,0,0.600000024,3,3,3,6,9,"Europe","Europe Tier 1","Right","Attacking Midfield,Forward",1
"73",73,212194,"J. Brandt","Julian Brandt",40.5,90,23,82,78,81,85,40,68,3083,8,12,3.700000048,0,0,2.299999952,3,2,4,7,9,"Europe","Europe Tier 1","Right","Attacking Midfield,Forward",1
"74",74,193747,"Koke","Jorge Resurrección Merodio",40.5,90,27,68,75,86,82,74,79,3151,5,5,1.599999905,8,1,0.800000012,1,3,4,9,9,"Europe","Europe Tier 1","Right","Midfield (Attacking/Defensive)",1
"75",75,189332,"Jordi Alba","Jordi Alba Ramos",40,225,30,90,69,81,83,79,73,3978,3,13,0.899999976,8,0,1,1,3,3,10,10,"Europe","Europe Tier 1","Left","Defensive Midfield,Defense",1
"76",76,175943,"D. Mertens","Dries Mertens",40,130,32,88,83,80,91,35,53,2989,19,13,7.300000191,2,0,0.400000006,4,3,4,7,9,"Europe","Europe Tier 1","Right","Attacking Midfield,Forward",1
"77",77,209658,"L. Goretzka","Leon Goretzka",40,120,24,81,77,80,81,75,79,2347,8,4,3,3,0,2.299999952,1,3,4,9,10,"Europe","Europe Tier 1","Right","Midfield (Attacking/Defensive)",1
"78",78,206113,"S. Gnabry","Serge Gnabry",39.5,120,23,90,82,75,86,43,69,2222,10,6,4.600000381,1,0,0.300000012,3,2,4,9,10,"Europe","Europe Tier 1","Right","Attacking Midfield,Forward",1
"79",79,183898,"A. Di María","Ángel Fabián Di María Hernández",39,150,31,84,79,84,87,48,68,3000,14,14,5.5,3,0,0.5,3,4,2,9,10,"South America","Europe Tier 1","Left","Attacking Midfield,Forward",1
"80",80,216594,"N. Fekir","Nabil Fekir",39,40,25,78,82,81,88,33,77,2497,12,9,7.400000095,8,0,1.299999952,7,3,3,2,5,"Europe","Europe Tier 1","Left","Attacking Midfield,Forward",1
"81",81,152729,"Piqué","Gerard Piqué Bernabéu",38,275,32,56,61,72,68,88,80,4140,6,2,0.699999988,7,0,5.300000191,1,4,3,10,10,"Europe","Europe Tier 1","Right","Defense",1
"82",82,168651,"I. Rakitic","Ivan Rakitic",38,250,31,62,81,86,81,74,70,3664,4,7,2.800000191,7,1,1.700000048,1,4,4,10,10,"Europe","Europe Tier 1","Right","Midfield (Attacking/Defensive)",1
"83",83,204963,"Carvajal","Daniel Carvajal Ramos",38,200,27,81,47,78,81,82,80,2525,1,3,1.200000048,11,0,1.299999952,1,3,3,10,10,"Europe","Europe Tier 1","Right","Defense",1
"84",84,197445,"D. Alaba","David Olatukunbo Alaba",38,130,27,83,73,81,80,80,76,3164,3,5,2.099999905,4,0,3.099999905,1,4,4,9,10,"Europe","Europe Tier 1","Left","Defensive Midfield,Defense",1
"85",85,199914,"Allan","Allan Marques Loureiro",38,110,28,75,71,78,84,85,84,3568,1,3,1.600000024,11,0,0.699999988,2,2,3,7,9,"South America","Europe Tier 1","Right","Defensive Midfield",1
"86",86,173731,"G. Bale","Gareth Frank Bale",37.5,250,29,91,87,82,82,58,76,2283,11,5,5.899999619,4,0,3,2,4,3,10,10,"Europe","Europe Tier 1","Left","Attacking Midfield,Forward",1
"89",89,198706,"Luis Alberto","Luis Alberto Romero Alconchel",37.5,80,26,71,76,84,85,49,59,2221,5,6,3.700000048,6,1,1,3,2,3,6,7,"Europe","Europe Tier 1","Right","Attacking Midfield,Forward",1
"90",90,232432,"L. Jovic","Luka Jovic",36,150,21,77,82,68,81,29,74,3203,27,6,6.299999714,2,0,3.799999952,5,1,5,10,10,"Europe","Europe Tier 1","Right","Forward",1
"91",91,210514,"João Cancelo","João Pedro Cavaco Cancelo",36.5,150,25,90,65,80,84,78,71,2446,1,5,1.700000048,6,0,1.799999952,2,2,3,9,10,"Europe","Europe Tier 1","Right","Defensive Midfield,Defense",1
"92",92,201995,"Felipe Anderson","Felipe  Anderson Pereira Gomes",36.5,120,26,89,77,79,89,55,61,3054,9,4,1.600000024,3,0,0.300000012,6,3,4,4,5,"South America","Europe Tier 1","Right","Attacking Midfield,Forward",1
"93",93,168542,"David Silva","David Josué Jiménez Silva",36,275,33,65,74,88,89,52,57,3131,9,10,2.899999857,3,0,1.200000048,3,4,2,9,10,"Europe","Europe Tier 1","Left","Midfield (Attacking/Defensive)",1
"94",94,226271,"Fabián","Fabián Ruiz Peña",36,80,23,65,78,78,83,74,69,2904,6,4,6.600000381,3,1,2.800000191,3,1,4,7,9,"Europe","Europe Tier 1","Left","Midfield (Attacking/Defensive)",1
"95",95,231677,"M. Rashford","Marcus Rashford",35,120,21,92,82,73,84,45,77,3069,12,6,5.599999905,4,1,1.599999905,3,2,3,7,8,"Europe","Europe Tier 1","Right","Attacking Midfield,Forward",1
"96",96,226226,"G. Lo Celso","Giovani Lo Celso",35,100,23,77,78,82,85,65,72,2963,14,5,4.299999714,9,0,0.899999976,7,1,3,2,5,"South America","Europe Tier 1","Left","Attacking Midfield,Forward",1
"97",97,205175,"A. Milik","Arkadiusz Milik",35,90,25,69,85,64,76,39,74,2973,19,4,8.199999809,6,0,3.299999952,4,3,3,7,9,"Europe","Europe Tier 1","Left","Forward",1
"98",98,167664,"G. Higuaín","Gonzalo Gerardo Higuaín",34.5,170,31,63,85,71,80,31,71,2846,13,2,11.20000005,4,1,1.600000024,1,4,4,10,10,"South America","Europe Tier 1","Right","Forward",1
"99",99,211300,"A. Martial","Anthony Martial",34.5,140,23,89,81,72,86,41,71,2131,11,2,2.899999857,3,0,1,2,3,3,7,8,"Europe","Europe Tier 1","Right","Attacking Midfield,Forward",1
"100",100,226110,"N. Pépé","Nicolas Pépé",34.5,100,24,91,81,75,85,33,67,3332,22,11,3.099999905,1,0,1.200000048,13,1,3,7,7,"Africa","Europe Tier 1","Left","Attacking Midfield,Forward",1
"101",101,212188,"T. Werner","Timo Werner",34.5,70,23,92,81,67,83,35,69,2615,16,7,5.599999905,1,0,1.299999952,5,3,4,6,8,"Europe","Europe Tier 1","Right","Attacking Midfield,Forward",1
"102",102,192629,"Iago Aspas","Iago Aspas Juncal",34.5,50,31,78,84,77,85,35,64,2262,20,6,2.599999905,5,0,0.899999976,6,2,3,4,5,"Europe","Europe Tier 1","Left","Attacking Midfield,Forward",1
"103",103,224411,"Gonçalo Guedes","Gonçalo Manuel Ganchinho Guedes",34.5,50,22,90,79,76,84,36,70,2298,8,4,5,4,0,1.299999952,3,2,4,6,8,"Europe","Europe Tier 1","Right","Attacking Midfield,Forward",1
"104",104,212523,"Anderson Talisca","Anderson Souza Conceição",34.5,40,25,77,82,80,81,57,72,1306,11,2,5.099999905,1,0,1,7,2,4,6,10,"South America","Asia Pacific","Left","Attacking Midfield,Forward",1
"105",105,220834,"Marco Asensio","Marco Asensio Willemsen",34,180,23,81,80,82,84,43,62,2081,3,4,4.400000095,3,0,0.400000006,0,3,3,10,10,"Europe","Europe Tier 1","Left","Attacking Midfield",1
"107",107,143076,"A. Gómez","Alejandro Darío Gómez",34,90,31,89,78,81,86,39,55,2913,7,11,3,5,0,0.300000012,7,3,4,3,6,"South America","Europe Tier 1","Right","Attacking Midfield,Forward",1
"108",108,213565,"T. Lemar","Thomas Lemar",34,60,23,83,76,82,85,59,67,2239,3,4,1.400000095,5,0,0.699999988,1,3,2,9,9,"Europe","Europe Tier 1","Left","Attacking Midfield",1
"109",109,191043,"Alex Sandro","Alex Sandro Lobo Silva",33,150,28,83,65,77,80,82,82,3135,1,2,1.399999976,10,0,3.799999952,4,3,3,10,10,"South America","Europe Tier 1","Left","Defensive Midfield,Defense",1
"110",110,210008,"A. Rabiot","Adrien Rabiot",33,120,24,73,74,79,80,77,80,1346,2,1,1.299999952,3,0,4.400000095,1,2,3,10,10,"Europe","Europe Tier 1","Left","Defensive Midfield",1
"111",111,212462,"Alex Telles","Alex Nicolao Telles",33,20,26,85,72,84,81,80,76,3850,5,11,1.700000048,5,0,3.5,5,3,2,7,10,"South America","Europe Tier 3","Left","Defensive Midfield,Defense",1
"112",112,172871,"J. Vertonghen","Jan Vertonghen",32.5,150,32,63,63,74,72,87,79,2764,2,1,1.299999952,4,1,3.799999952,3,3,3,7,8,"Europe","Europe Tier 1","Left","Defense",1
"113",113,202166,"J. Draxler","Julian Draxler",32.5,100,25,77,79,81,86,55,63,2330,3,8,1.100000024,8,0,1,3,3,5,9,10,"Europe","Europe Tier 1","Right","Attacking Midfield",1
"114",114,224179,"Borja Iglesias","Borja Iglesias Quintas",32.5,40,26,67,83,63,76,35,82,3082,17,3,2.400000095,5,0,1.799999952,2,1,3,2,5,"Europe","Europe Tier 1","Right","Forward",1
"115",115,208418,"Y. Carrasco","Yannick Ferreira Carrasco",31,20,25,90,80,75,87,39,64,2085,17,7,3.400000095,9,0,0.200000003,6,3,4,1,2,"Europe","Asia Pacific","Right","Attacking Midfield,Forward",1
"116",116,205693,"S. Haller","Sébastien Haller",32,120,25,72,81,62,76,51,82,2953,20,12,4.300000191,5,0,12.5,4,1,2,4,5,"Europe","Europe Tier 1","Right","Forward",1
"117",117,200454,"Paco Alcácer","Francisco Alcácer García",32,100,25,79,84,68,80,36,63,1561,19,1,3.600000143,1,0,1.100000024,2,2,4,7,9,"Europe","Europe Tier 1","Right","Attacking Midfield,Forward",1
"118",118,198717,"W. Zaha","Wilfried Zaha",32,90,26,91,76,72,88,27,74,3041,10,5,2.099999905,8,1,0.300000012,6,2,3,2,3,"Africa","Europe Tier 1","Right","Attacking Midfield,Forward",1
"119",119,201153,"Morata","Álvaro Borja Morata Martín",32,80,26,81,79,71,80,31,72,2387,13,1,10,9,0,15.20000052,1,3,4,7,8,"Europe","Europe Tier 1","Right","Attacking Midfield,Forward",1
"120",120,231281,"T. Alexander-Arnold","Trent Alexander-Arnold",32,80,20,80,62,82,78,78,70,3389,1,15,2.100000143,3,0,0.900000036,2,1,4,10,9,"Europe","Europe Tier 1","Right","Defensive Midfield,Defense",1
"122",122,155862,"Sergio Ramos","Sergio Ramos García",31.5,300,33,72,68,75,73,87,85,2895,6,1,2.899999857,8,1,4.600000381,2,4,3,10,10,"Europe","Europe Tier 1","Right","Defense",1
"123",123,204485,"R. Mahrez","Riyad Mahrez",31.5,190,28,84,78,79,89,38,59,1727,8,8,4,1,0,1.200000048,4,3,4,9,10,"Africa","Europe Tier 1","Left","Attacking Midfield",1
"124",124,190483,"Douglas Costa","Douglas Costa de Souza",31.5,150,28,94,73,79,91,43,61,777,1,0,2.400000095,2,1,0,1,3,3,10,10,"South America","Europe Tier 1","Left","Midfield (Attacking/Defensive)",1
"125",125,212404,"F. Bernardeschi","Federico Bernardeschi",31.5,130,25,81,75,81,87,60,66,2028,2,4,3.5,7,1,0.400000006,0,2,3,10,10,"Europe","Europe Tier 1","Left","Attacking Midfield,Forward",1
"126",126,177413,"A. Witsel","Axel  Witsel",31.5,110,30,73,74,80,79,83,81,3503,5,1,2.5,2,0,2.799999952,1,3,4,7,9,"Europe","Europe Tier 1","Right","Midfield (Attacking/Defensive)",1
"128",128,190286,"Canales","Sergio Canales Madrazo",31.5,40,28,78,79,83,81,51,66,3126,8,3,4.300000191,10,0,0.400000006,3,2,3,2,5,"Europe","Europe Tier 1","Left","Attacking Midfield",1
"129",129,186942,"I. Gündogan","Ilkay Gündogan",31,180,28,66,74,84,84,72,71,2726,6,4,2.5,3,0,1.700000048,2,3,4,9,10,"Europe","Europe Tier 1","Right","Midfield (Attacking/Defensive)",1
"130",130,181291,"G. Wijnaldum","Georginio Wijnaldum",31,140,28,77,73,78,84,76,78,3708,5,0,1.899999976,4,0,1.700000048,1,3,3,10,9,"Europe","Europe Tier 1","Right","Midfield (Attacking/Defensive)",1
"131",131,230666,"Gabriel Jesus","Gabriel Fernando de Jesus",31,140,22,85,80,72,86,39,71,1397,11,3,5,1,0,1.200000048,1,2,3,9,10,"South America","Europe Tier 1","Right","Attacking Midfield,Forward",1
"132",132,200949,"Lucas Moura","Lucas Rodrigues M. Silva",31,130,26,92,79,76,87,42,66,2853,15,0,3.600000143,3,0,2.600000143,4,3,4,7,8,"South America","Europe Tier 1","Right","Attacking Midfield,Forward",1
"135",135,230142,"Oyarzabal","Mikel Oyarzabal Ugarte",31,40,22,75,82,79,83,39,61,3160,13,2,1.799999952,2,0,1.200000048,1,1,3,3,5,"Europe","Europe Tier 1","Left","Attacking Midfield,Forward",1
